	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACSL1	10.3996015104545	10.4618481612033	10.5545751297765	10.5302027647939	10.6521874794603	10.490838243997	10.5707097018539	10.5457095152108
ACSL3	11.251819832577	11.3314688419514	11.6717455212778	11.6623362740775	11.8762224247427	11.7407226781324	11.774847346525	11.776743881824
ACSL4	11.7636796481429	11.9036164434523	12.422015666078	12.3901178321239	12.6086817528956	11.9079273991731	11.9441561728772	11.8444141350358
ACSL5	4.98537927042676	3.78991799367607	2.58335250651618	1.4775592782179	2.83205955510054	3.54737037894872	2.3661322452885	3.37311197167259
ACSL6	7.01637774848423	7.32488529734597	7.8908716922955	7.70067251782137	7.92347928074203	7.14740360518763	7.21454035229105	7.11626709884358
ACSM1	0.712913768754427	1.04915498583224	0	1.4775592782179	0	1.4760667690282	0	1.22484716351885
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	5.61274594471149	5.95305787423286	6.29271317053442	6.19541199578964	6.18825398911858	5.76703979141142	5.86143689449822	6.2458223950069
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0.712913768754427	0	0.873591161997045	0	0	0.919108427306555	0	0
ACSS1	8.46413848674593	8.62391375543804	8.84146967258388	8.93934398102148	8.80185532515567	8.48130918602721	8.42992349799376	8.56270240443391
ACSS2	8.80238884353327	8.80036950120461	9.1554181127676	9.25173635623393	8.90216460580474	8.92119787218071	8.81979418088599	8.8019449545471
ACSS3	7.30580061609239	7.69612090999856	7.93078259201238	7.91853076440756	8.03709920726433	7.81139095830995	7.57831515056713	7.72080637541824
ACTA1	6.54953256349763	6.41744882176076	5.6939133624791	5.62025934426056	5.3499967710708	5.88047768527481	5.54569913462605	6.47997832692775
ACTA2	8.969887533188	8.91026356802989	7.88071903338737	7.92384220513406	7.72908396509126	7.18322157032597	7.40344352359256	7.34708211617859
ACTB	15.6268701554201	15.4842342144261	15.1065446586133	15.1324812145641	14.8189759951106	15.6268644687827	15.5833165671556	15.5643769765795
ACTBL2	6.66306654150581	6.47060244546091	4.14113518450952	3.84657263827024	4.38494253631785	5.81349065692404	5.6686539376506	5.61891541990137
ACTC1	3.40417677240018	3.0849524356137	2.77094021908653	3.43512805579921	3.34785692413047	3.75202586634323	3.63550140326393	2.94233327642699
